CODCARPR,TIPO_CARRERA,JORNADA_MAT,VERSION,CODIGO_SIES_FINAL,CONFIANZA,NOTAS,CODIGO_UNICO,NOMBRE_CARRERA,TIPO_PLAN_CARRERA,DURACION_ESTUDIOS,DURACION_TOTAL,MODALIDAD,JORNADA_OF,COD_SEDE,NOMBRE_SEDE,VIGENCIA,tp_esperado_src,tp_match,jornada_da_num,jornada_consistente
DCBS,DIPLOMADO EN CIBERSEGURIDAD,O,V1,I162S2C53J3V1,95%,Mapeo online,I162S2C53J3V1,DIPLOMADO EN CIBERSEGURIDAD APLICADA,1,1,1,2,3,2,CASA CENTRAL (SANTIAGO),1,1,True,4,False
IACI,INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL,D,V1,I162S2C22J2V1,100%,Mapeo oficial,I162S2C22J2V1,INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,1,False
IACI,INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL,D,V2,I162S2C22J2V2,100%,Mapeo oficial,I162S2C22J2V2,INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL,3,4,4,1,2,2,CASA CENTRAL (SANTIAGO),1,1,False,1,False
IADM,INGENIERIA EN ADMINISTRACION DE EMPRESAS,D,V1,I162S2C76J2V1,100%,Mapeo oficial,I162S2C76J2V1,INGENIERIA EN ADMINISTRACION DE EMPRESAS,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,1,False
ICIB,INGENIERIA EN CIBERSEGURIDAD,D,V3,I162S2C46J2V3,100%,Mapeo oficial,I162S2C46J2V3,INGENIERIA EN CIBERSEGURIDAD,3,4,4,1,2,2,CASA CENTRAL (SANTIAGO),1,1,False,1,False
ICRE,INGENIERIA EN CONECTIVIDAD Y REDES,D,V1,I162S2C3J2V1,100%,Mapeo oficial,I162S2C3J2V1,INGENIERIA EN CONECTIVIDAD Y REDES,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,1,False
ICRE,INGENIERIA EN CONECTIVIDAD Y REDES,D,V3,I162S2C3J2V3,100%,Mapeo oficial,I162S2C3J2V3,INGENIERIA EN CONECTIVIDAD Y REDES,3,4,4,1,2,2,CASA CENTRAL (SANTIAGO),1,1,False,1,False
ICRE,INGENIERIA EN CONECTIVIDAD Y REDES,D,V4,I162S2C3J2V4,100%,Mapeo oficial,I162S2C3J2V4,INGENIERIA EN CONECTIVIDAD Y REDES,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,1,False
IECSRE,INGENIERIA EN CIBERSEGURIDAD,D,V1,I162S2C46J2V1,100%,Mapeo oficial,I162S2C46J2V1,INGENIERIA EN CIBERSEGURIDAD,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,1,False
IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,V1,I162S2C46J1V1,95%,Mapeo online,I162S2C46J1V1,INGENIERIA EN CIBERSEGURIDAD,1,8,8,1,1,2,CASA CENTRAL (SANTIAGO),1,1,True,4,False
IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,V2,I162S2C46J2V2,95%,Mapeo online,I162S2C46J2V2,INGENIERIA EN CIBERSEGURIDAD,3,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,False,4,False
IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,V3,I162S2C46J2V3,95%,Mapeo online,I162S2C46J2V3,INGENIERIA EN CIBERSEGURIDAD,3,4,4,1,2,2,CASA CENTRAL (SANTIAGO),1,1,False,4,False
IINF,INGENIERIA EN INFORMATICA,D,V1,I162S2C1J2V1,100%,Mapeo oficial,I162S2C1J2V1,INGENIERIA EN INFORMATICA,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,1,False
IINF,INGENIERIA EN INFORMATICA,D,V2,I162S2C1J2V2,100%,Mapeo oficial,I162S2C1J2V2,INGENIERIA EN INFORMATICA,3,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,False,1,False
IINF,INGENIERIA EN INFORMATICA,D,V3,I162S2C1J2V3,100%,Mapeo oficial,I162S2C1J2V3,INGENIERIA EN INFORMATICA,3,4,4,1,2,2,CASA CENTRAL (SANTIAGO),1,1,False,1,False
IINF,INGENIERIA EN INFORMATICA,D,V4,I162S2C1J2V4,100%,Mapeo oficial,I162S2C1J2V4,INGENIERIA EN INFORMATICA,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,1,False
TCIB,TECNICO EN CIBERSEGURIDAD,D,V1,I162S2C47J2V1,100%,Mapeo oficial,I162S2C47J2V1,TECNICO EN CIBERSEGURIDAD,1,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,1,False
TENS,TECNICO EN ENFERMERIA,D,V1,I162S2C91J2V1,100%,Mapeo oficial,I162S2C91J2V1,TECNICO EN ENFERMERIA,1,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,1,False
TPARE,TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS,D,V1,I162S2C57J2V1,100%,Mapeo oficial,I162S2C57J2V1,TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS,1,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,1,False
TPAS,TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS,D,V1,I162S2C57J2V1,100%,Mapeo oficial,I162S2C57J2V1,TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS,1,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,1,False
TTMRE,TECNICO EN CONECTIVIDAD Y REDES,D,V1,I162S2C6J2V1,100%,Mapeo oficial,I162S2C6J2V1,TECNICO EN CONECTIVIDAD Y REDES,1,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,1,False
TTMRE,TECNICO EN CONECTIVIDAD Y REDES,D,V2,I162S2C6J2V2,100%,Mapeo oficial,I162S2C6J2V2,TECNICO EN CONECTIVIDAD Y REDES,1,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,1,False
